Tanggal,Pagi,Siang,Malam
24/06/2025,1;5,1;2;5,1
25/06/2025,4;5,4;5;9,5
26/06/2025,1;5,1;3;5,1
27/06/2025,1;4,1;3;4,1
28/06/2025,13;23,6;13;17,6
29/06/2025,23;1,23;1;2,23
30/06/2025,1;4,1;4;5,1
01/07/2025,1;5,1;2;5,1
02/07/2025,4;5,4;5;9,5
03/07/2025,1;5,1;3;5,1
04/07/2025,1;4,1;3;4,1
05/07/2025,13;23,6;13;17,6
06/07/2025,23;1,23;1;2,23
07/07/2025,1;4,1;4;5,1
08/07/2025,1;5,1;2;5,1
09/07/2025,4;5,4;5;9,5
10/07/2025,1;5,1;3;5,1
11/07/2025,1;4,1;3;4,1
12/07/2025,13;23,6;13;17,6
13/07/2025,23;1,23;1;2,23
14/07/2025,1;4,1;4;5,1
15/07/2025,1;5,1;2;5,1
16/07/2025,4;5,4;5;9,5
17/07/2025,1;5,1;3;5,1
18/07/2025,1;4,1;3;4,1
19/07/2025,13;23,6;13;17,6
20/07/2025,23;1,23;1;2,23
21/07/2025,1;4,1;4;5,1
22/07/2025,1;5,1;2;5,1
23/07/2025,4;5,4;5;9,5
